method,metric,mean,lower,upper,sd,median,minimum,maximum,perfect_count,below_0_9_count
quantum,balanced_accuracy,0.9527777777777777,0.9333333333333332,0.9708333333333333,0.05441843932852857,0.9583333333333333,0.7916666666666667,1.0,13,5
quantum,macro_f1,0.9523190591435678,0.9312367321933587,0.9707189060134713,0.05555422967962846,0.9582608695652174,0.7822141560798548,1.0,13,5
rbf_svc,balanced_accuracy,0.9569444444444444,0.9444444444444443,0.9694444444444443,0.03707991611100932,0.9583333333333333,0.875,1.0,9,2
rbf_svc,macro_f1,0.9567813844770365,0.9428287515222301,0.9693573071855682,0.037313202634740805,0.9582608695652174,0.873015873015873,1.0,9,2
mlp_11_parameter,balanced_accuracy,0.975,0.9638888888888888,0.986111111111111,0.03208883741412328,1.0,0.9166666666666666,1.0,17,0
mlp_11_parameter,macro_f1,0.9749029762508024,0.9623761840816191,0.9860723624201885,0.032245557324184104,1.0,0.916083916083916,1.0,17,0
rff_256,balanced_accuracy,0.9472222222222222,0.9291666666666666,0.9652777777777776,0.0512456583215315,0.9583333333333333,0.8333333333333333,1.0,10,5
rff_256,macro_f1,0.9468251474773214,0.9282118670379542,0.9650906174743131,0.05187703875234179,0.9582608695652174,0.8285714285714285,1.0,10,5
gradient_boosting,balanced_accuracy,0.9805555555555555,0.9708333333333332,0.9902777777777776,0.028393557810877497,1.0,0.9166666666666667,1.0,19,0
gradient_boosting,macro_f1,0.980477956825783,0.9706804499847979,0.9902462754636667,0.028544981081992646,1.0,0.916083916083916,1.0,19,0
